,Q1,Q2,Q3,Q4,Q5,Q6,Q27,Q28,Q29,Q30,Q31,Q32,Q46,Q51,Q52,Q53,Q54,Q55,Q58,Q59,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81,Q113,Q114,Q115,Q116,Q117,Q118,Q130,Q131,Q132,Q133,Q134,Q135,Q136,Q137,Q138,Q142,Q143,Q146,Q147,Q148,Q169,Q170,Q196,Q197,Q198,Q199,Q224,Q225,Q226,Q227,Q228,Q229,Q230,Q231,Q232,Q233,Q234,Q235,Q236,Q237,Q238,Q239,Q253,Q254,Q255,Q256,Q257,Q258,Q259
pid_1409,1,1,1,1,1,4,1,4,4,4,4,1,3,2,2,3,2,4,2,3,2,2,1,2,4,2,2,4,1,4,4,2,3,4,2,1,3,3,3,1,1,1,3,3,3,2,2,3,1,3,1,2,2,2,2,2,2,1,1,1,1,1,4,4,4,4,4,1,3,4,2,4,3,3,1,1,4,3,1,4,2,4,1,4,3,3,2,3,3,2,1
pid_1120,1,1,1,2,1,4,2,4,4,4,4,2,1,4,3,3,4,4,1,2,2,4,2,2,4,1,3,3,2,3,2,3,4,3,3,2,2,3,2,2,2,2,2,3,3,3,2,1,2,2,4,4,4,3,4,4,4,2,2,2,3,2,4,4,4,4,4,2,2,4,2,4,3,3,2,4,3,2,1,4,2,4,1,4,3,2,2,3,3,2,2
pid_64,1,1,2,1,1,2,1,2,3,4,4,1,1,4,4,4,4,4,1,2,1,2,2,2,2,1,3,3,2,2,1,2,3,3,2,2,2,2,3,3,1,1,3,3,2,2,2,2,2,1,4,4,4,4,4,4,4,2,1,2,2,1,3,4,1,1,4,2,2,4,3,4,3,2,1,3,3,2,1,4,2,4,1,4,3,1,1,1,1,3,2
pid_344,1,2,1,1,1,4,3,4,4,4,4,4,4,4,3,4,4,4,1,2,1,3,2,2,4,2,2,4,2,3,3,2,3,4,2,2,1,3,2,2,1,2,3,3,3,3,3,2,2,1,4,4,3,2,4,4,4,1,2,1,2,1,4,4,4,4,4,1,1,4,1,2,2,1,1,2,3,3,1,4,1,4,1,4,3,2,4,4,3,4,4
pid_623,1,2,1,1,4,1,1,2,1,4,1,1,1,4,4,4,4,4,1,2,1,3,3,3,1,1,4,4,4,1,1,3,2,4,4,3,4,2,1,4,2,1,3,2,3,2,3,2,4,1,4,4,4,4,4,4,4,4,4,2,2,4,1,3,1,1,1,1,4,4,1,3,4,4,3,4,2,1,1,1,4,4,1,4,1,1,1,1,1,1,4
pid_1447,1,1,1,1,2,4,3,4,4,4,4,4,3,4,2,3,4,4,2,2,2,2,2,2,4,3,2,3,1,4,3,3,4,3,2,1,2,3,3,1,1,1,3,3,3,3,3,2,1,3,2,3,2,2,3,4,2,1,1,1,2,1,4,4,4,4,4,1,3,2,1,3,3,3,1,1,4,4,1,4,2,4,1,4,3,3,3,2,3,2,2
pid_1014,1,1,1,2,1,4,1,4,4,4,4,1,1,4,4,4,4,4,1,2,1,2,1,2,4,2,2,2,1,2,1,2,3,2,2,1,1,2,2,1,1,1,3,2,2,2,2,1,2,1,4,4,4,4,4,4,4,4,4,2,3,2,4,4,3,4,4,1,2,4,2,3,3,2,2,3,3,3,1,4,2,4,1,4,2,2,2,2,2,2,1
pid_1869,1,1,1,1,1,2,1,4,4,4,4,1,1,4,4,4,4,4,1,2,1,2,1,2,3,2,2,3,1,3,2,2,3,3,2,1,1,3,2,1,1,1,2,3,2,2,2,1,1,1,4,4,3,3,4,3,3,2,1,2,2,2,4,4,4,4,4,1,1,4,2,4,2,2,1,2,3,3,1,4,2,4,1,4,3,2,2,2,1,2,1
pid_270,1,1,1,1,1,4,1,4,4,4,4,2,1,4,4,4,4,4,1,1,1,1,1,1,4,2,2,3,1,2,1,2,2,2,1,1,1,3,2,1,1,1,3,3,3,2,2,1,1,1,4,4,4,4,4,4,4,4,4,2,4,3,4,4,4,4,4,1,1,4,2,3,2,1,1,4,3,3,1,4,2,4,1,4,3,2,1,1,1,2,2
pid_717,1,1,1,1,1,1,1,4,4,4,4,1,2,4,3,4,4,4,1,1,1,2,2,2,1,1,4,4,3,1,1,4,2,3,2,2,3,2,2,1,2,1,3,2,3,3,3,1,3,3,4,4,4,3,4,4,3,1,1,1,1,1,3,4,1,2,2,1,2,4,1,4,4,3,2,2,3,2,1,4,3,4,1,4,2,1,1,1,1,2,1
pid_1573,1,1,1,1,1,1,1,4,4,4,4,3,3,4,2,4,4,4,1,1,1,1,1,1,1,1,2,2,1,3,3,2,3,4,2,1,1,3,2,1,1,1,3,3,3,2,2,2,1,3,3,3,2,2,4,3,2,1,1,1,1,1,4,4,4,4,4,1,2,3,1,3,2,2,1,2,3,4,1,4,1,4,1,4,3,2,1,1,1,1,1
pid_1827,1,2,3,1,1,1,1,3,1,2,2,4,2,4,3,4,4,4,1,2,2,3,3,3,1,1,4,3,4,1,1,4,2,4,4,2,2,1,2,1,3,1,3,2,3,3,4,1,4,3,4,4,4,4,4,4,4,1,1,1,1,1,3,1,1,1,1,1,4,4,1,3,4,4,4,2,3,1,1,2,4,4,1,4,2,1,1,2,1,3,2
pid_759,1,1,1,1,1,3,1,4,4,4,4,4,4,2,2,2,3,4,1,2,2,3,2,2,3,2,2,3,1,3,3,2,4,4,2,1,2,4,3,1,1,1,3,3,3,2,2,2,1,3,2,3,3,2,2,2,2,1,1,1,1,1,4,4,4,4,4,1,1,4,1,3,2,2,1,2,4,4,1,4,3,4,1,4,4,2,2,2,2,1,3
pid_394,1,1,1,1,1,4,2,4,4,4,4,4,1,4,4,4,4,4,1,1,1,2,1,1,4,1,2,3,1,2,3,2,3,2,2,1,1,3,2,1,1,1,3,3,3,2,2,2,2,1,4,4,4,3,4,4,4,4,4,2,4,2,4,4,4,4,4,1,1,4,2,4,2,1,1,2,3,3,1,4,2,4,1,4,3,1,1,1,1,1,1
pid_1497,1,1,1,1,1,4,3,4,4,4,4,1,1,4,4,4,4,4,1,1,1,1,1,1,4,3,2,4,1,3,2,2,4,4,1,1,1,4,3,1,1,1,3,3,2,2,2,1,1,1,4,4,3,2,4,4,3,2,2,2,4,2,4,4,4,4,4,1,1,4,2,3,3,2,1,3,4,4,1,4,1,4,1,4,3,3,3,3,3,3,1
pid_914,1,1,1,1,1,1,1,2,1,4,4,1,1,4,4,4,4,4,1,1,1,2,2,3,1,1,4,4,3,1,1,2,2,2,1,3,4,2,1,2,1,1,3,2,3,2,3,2,2,1,3,4,4,3,4,4,4,1,1,1,1,1,1,2,1,1,1,1,3,4,4,4,4,4,3,3,1,2,1,1,4,4,1,2,1,1,1,1,1,1,1
pid_169,1,1,1,1,2,3,1,4,4,4,4,1,1,4,4,4,4,4,1,2,1,1,1,2,2,1,2,3,2,2,2,3,3,3,2,1,2,2,2,1,2,2,2,3,2,2,2,1,2,1,4,4,4,4,4,4,4,4,4,3,4,3,4,4,2,4,4,1,1,4,3,4,3,2,2,3,3,2,1,4,2,4,1,4,2,2,1,1,2,2,2
pid_440,1,1,1,2,1,4,1,4,4,4,4,3,2,4,3,4,4,4,1,1,1,1,1,1,4,2,2,3,2,3,2,3,3,3,2,1,2,3,2,2,1,1,2,2,2,2,2,1,2,1,4,4,4,3,4,4,3,3,3,1,3,2,4,4,3,4,4,2,2,4,3,4,3,2,2,3,3,3,1,4,2,4,1,4,3,2,2,2,2,2,1
pid_1624,1,1,1,2,1,2,1,4,4,4,4,3,4,4,2,4,4,4,1,2,1,2,2,2,3,2,2,3,2,2,2,2,3,3,2,1,2,2,2,2,1,1,3,3,2,2,2,2,2,3,3,4,4,2,4,4,2,1,1,1,1,1,4,4,1,4,4,2,3,3,2,3,2,2,1,2,3,3,1,4,2,4,1,4,3,1,1,2,1,2,1
pid_1343,1,2,2,2,1,3,1,3,3,4,4,4,1,4,4,4,4,4,1,3,2,4,3,3,3,2,3,3,3,2,2,2,4,3,2,1,2,2,2,4,3,2,3,3,2,2,2,1,2,1,4,4,4,4,4,4,4,3,4,2,2,2,4,4,1,2,2,2,2,4,3,4,3,3,2,3,3,2,1,2,1,4,1,4,2,2,3,3,2,3,3
pid_127,1,2,1,1,1,3,1,3,2,4,2,4,3,4,3,4,4,4,2,2,1,2,2,2,2,1,4,4,4,1,3,4,4,4,4,3,3,3,2,1,2,2,3,2,3,3,4,2,3,2,4,4,4,4,4,4,4,1,1,1,2,1,4,4,2,4,2,1,3,4,4,3,4,3,1,3,4,1,1,4,1,4,1,4,3,1,2,2,1,3,2
pid_771,1,1,1,1,3,4,2,4,4,4,4,1,3,4,4,4,4,4,1,2,1,2,1,2,4,2,2,3,1,3,3,2,3,3,2,1,1,4,3,1,1,1,3,3,3,2,2,1,1,1,4,4,4,3,4,4,3,4,2,2,3,2,4,4,3,4,4,1,1,3,1,4,2,1,1,2,4,3,1,4,1,4,1,4,3,3,1,3,2,2,1
pid_1515,1,1,1,1,1,4,1,4,4,4,4,4,2,4,3,4,4,4,1,3,1,3,2,2,4,2,1,3,1,4,3,4,4,3,1,1,3,4,3,1,1,1,3,3,3,3,2,1,1,2,4,3,3,2,3,4,2,2,2,1,2,1,4,4,4,4,4,1,4,2,1,4,3,1,1,2,4,4,1,4,1,4,1,4,4,2,1,1,2,1,1
pid_896,1,1,1,1,1,1,1,4,4,4,4,4,1,4,4,4,4,4,1,1,2,2,2,2,1,1,2,3,1,3,3,3,4,3,2,1,1,3,2,3,1,1,2,3,3,2,2,2,1,1,4,4,2,2,4,3,3,4,1,2,4,2,3,4,4,4,4,1,3,3,2,3,3,2,1,2,4,4,1,4,1,4,1,4,3,1,1,1,1,2,1
pid_1072,1,2,1,2,1,2,1,4,4,4,4,1,3,4,4,4,4,4,1,2,2,3,2,2,3,1,2,3,1,3,2,2,3,3,2,1,2,3,2,1,1,1,3,3,3,3,2,2,1,1,3,3,4,2,3,4,4,2,1,1,3,1,4,4,1,4,4,2,1,4,1,4,2,2,1,2,3,3,1,4,1,4,1,4,3,1,2,3,1,3,4
pid_216,1,1,1,1,1,1,1,2,1,4,2,4,2,4,3,4,4,4,1,3,3,3,4,4,4,1,4,4,4,1,3,4,4,4,3,3,3,2,2,2,3,3,3,3,3,3,3,2,4,3,2,3,3,2,3,2,4,1,1,1,1,1,3,2,1,2,4,2,4,4,1,2,4,4,1,2,3,1,1,4,3,4,1,4,2,1,1,2,1,2,3
pid_1841,1,1,1,1,1,3,1,4,4,4,4,3,4,2,1,2,2,4,1,2,2,2,1,2,3,2,2,3,1,3,3,2,4,4,2,1,3,4,3,1,1,1,3,3,3,3,2,2,1,3,2,3,2,1,2,2,2,1,1,1,1,1,4,4,4,4,4,1,4,3,1,3,3,3,1,2,4,4,1,4,2,4,1,4,4,3,2,3,3,2,2
pid_258,3,3,1,1,4,4,4,1,1,4,1,4,2,4,4,3,4,4,3,4,2,4,4,4,4,1,4,4,4,1,3,4,3,4,3,4,4,4,3,4,4,4,3,3,3,3,4,2,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,1,4,4,1,2,4,4,1,4,4,1,1,4,4,4,1,4,3,1,4,4,1,4,4
pid_695,1,1,1,1,1,4,3,4,4,4,4,4,3,4,3,4,4,4,1,3,3,4,2,2,4,4,2,4,1,4,3,3,4,4,3,1,3,4,3,1,1,2,3,3,3,3,3,2,1,3,2,3,2,4,2,4,2,1,1,1,1,1,4,4,4,4,4,1,2,2,2,3,4,3,1,2,4,4,1,4,1,4,1,4,3,4,3,4,3,4,2
pid_972,1,3,1,2,3,4,4,4,4,4,4,3,1,4,4,4,4,4,1,4,2,4,3,4,4,2,3,4,1,3,3,4,4,4,3,1,3,4,2,3,2,3,3,3,3,3,3,3,1,2,4,4,4,2,4,4,4,4,4,1,3,1,4,4,1,4,4,1,3,3,1,2,4,2,1,2,4,3,1,4,1,4,1,4,3,3,4,4,4,4,4
pid_1196,1,1,1,2,1,4,1,4,4,4,4,4,3,4,4,4,4,4,1,2,1,2,2,2,4,1,2,3,2,2,2,2,4,3,2,1,2,2,2,2,1,1,3,3,3,2,2,2,2,1,4,4,4,2,4,4,4,4,4,1,3,1,4,4,1,4,4,2,3,4,2,3,3,2,2,2,3,3,1,4,2,4,1,4,3,2,1,2,2,2,1
pid_468,1,1,1,2,1,3,1,3,2,4,4,1,1,4,4,4,4,4,1,1,1,2,2,3,2,1,4,3,4,1,2,4,2,4,2,2,3,1,1,3,2,1,2,2,2,2,4,1,3,1,4,4,4,4,4,4,3,4,4,1,2,2,3,4,1,1,1,1,3,4,4,4,4,3,3,2,2,2,1,2,4,4,1,4,1,1,1,1,1,2,2
pid_1325,1,1,1,1,1,1,1,3,4,4,4,1,1,4,4,4,4,4,1,1,1,2,1,2,1,1,4,4,4,1,1,2,2,4,3,3,3,1,1,1,1,1,3,2,2,2,3,1,3,1,4,4,4,4,4,4,4,4,4,2,3,3,3,4,1,1,2,1,4,4,4,3,4,4,3,3,1,2,1,1,4,4,1,4,1,1,1,1,1,1,1
pid_141,1,1,1,2,1,3,2,4,4,4,4,2,1,4,4,4,4,4,1,1,1,1,1,2,3,2,2,3,1,3,3,2,4,4,2,1,2,3,2,2,1,1,3,3,3,2,2,2,2,1,4,3,4,2,4,4,3,4,2,2,4,3,4,4,4,4,4,1,2,3,2,3,3,2,1,2,3,3,1,4,1,4,1,4,3,2,2,2,1,2,1
pid_426,1,1,1,2,1,4,1,4,4,4,4,3,1,4,4,4,4,4,1,1,1,2,1,2,3,1,3,3,3,1,2,3,3,3,3,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,4,4,4,4,4,4,4,4,4,2,4,4,4,4,3,4,4,2,2,4,2,4,3,2,2,3,3,1,1,4,2,4,1,4,2,1,1,1,1,2,1
pid_1642,1,1,1,2,1,1,2,4,4,4,4,3,3,4,3,4,4,4,1,2,1,2,2,2,1,1,3,3,3,1,2,3,3,3,2,2,2,2,2,2,1,1,3,2,3,2,3,2,3,2,4,4,4,3,4,4,4,2,1,1,1,2,4,4,2,4,4,1,3,4,3,3,3,3,2,3,3,3,1,4,2,4,1,4,3,1,1,1,1,3,1
pid_1211,1,1,1,1,2,4,1,4,4,4,4,1,4,2,1,2,3,4,1,2,2,4,1,2,4,2,2,4,1,4,4,3,3,4,2,1,2,4,3,1,1,1,3,3,3,2,2,1,1,4,2,3,4,2,2,2,3,1,1,1,1,1,4,4,4,4,4,1,3,4,1,3,2,2,1,1,4,3,1,4,1,4,1,4,4,3,4,4,4,2,4
pid_808,1,1,1,2,1,4,2,4,4,4,4,3,3,4,2,4,4,4,1,2,1,2,1,1,4,2,3,4,3,3,2,2,3,3,2,2,2,3,2,1,1,2,3,3,2,2,2,2,2,3,4,4,4,4,4,4,3,1,1,1,1,1,4,4,1,4,4,2,3,3,2,4,3,2,2,3,3,1,1,4,2,4,1,4,3,2,2,3,3,4,2
pid_1891,1,1,1,2,2,2,1,4,4,4,4,2,1,4,3,4,4,4,1,2,1,3,2,3,2,2,3,4,2,3,3,3,3,3,3,2,2,3,3,2,1,1,3,3,3,2,2,2,2,2,4,4,4,3,3,4,3,2,1,2,2,2,3,4,2,4,4,2,2,4,2,3,3,3,1,2,3,3,1,4,3,4,1,4,2,2,1,2,2,1,2
pid_512,1,1,1,1,1,1,1,4,4,4,4,2,3,4,2,4,4,4,1,2,2,3,2,3,1,1,4,4,4,1,2,4,2,4,3,3,3,2,2,1,2,1,3,2,3,2,3,1,4,2,3,4,4,4,4,4,3,1,1,1,1,1,2,2,1,1,2,1,4,4,4,3,4,4,3,2,3,1,1,2,4,4,1,4,3,1,1,1,1,2,1
pid_1776,1,1,1,1,1,4,2,4,4,4,4,4,4,4,2,4,4,4,1,2,1,2,1,2,4,1,2,4,1,3,3,2,4,3,2,1,3,3,3,1,1,1,3,3,3,2,2,2,1,3,4,3,3,2,4,4,3,1,1,1,1,1,4,4,4,4,4,1,2,3,1,2,4,3,1,1,4,4,1,4,3,4,1,4,4,3,2,3,3,3,2
pid_288,1,1,1,1,1,4,1,4,4,4,4,4,4,4,1,2,4,4,2,2,2,3,2,2,4,3,2,3,1,4,4,3,3,3,2,1,3,3,3,1,1,1,3,3,3,3,2,3,1,4,1,2,2,2,2,2,2,1,1,1,1,1,4,4,4,4,4,1,3,2,1,2,2,4,1,1,4,4,1,4,2,4,1,4,3,3,2,1,3,2,4
pid_846,1,2,1,1,1,4,4,4,4,4,4,4,3,4,2,4,4,4,4,4,2,4,2,2,4,2,2,4,1,4,3,2,3,3,2,1,2,4,3,1,1,1,3,3,3,2,2,2,1,3,4,4,3,2,4,4,2,1,1,1,1,1,4,4,4,4,4,1,2,4,1,3,3,2,1,2,4,4,1,4,1,4,1,4,4,3,3,3,3,3,1
pid_1738,2,3,1,1,1,4,2,4,4,4,4,4,3,4,2,4,4,4,1,3,2,3,2,2,4,2,2,4,2,3,3,2,3,3,2,2,2,4,3,1,1,1,3,3,3,2,2,2,2,3,3,4,4,2,3,3,3,1,1,1,2,1,4,4,4,4,4,1,2,3,1,3,2,2,1,2,4,3,1,4,1,4,1,4,3,3,4,4,3,3,4
pid_2029,2,1,1,1,1,4,3,4,4,4,4,1,3,2,2,2,2,4,2,3,3,4,2,3,4,3,3,4,1,4,3,2,4,4,3,2,3,4,4,2,1,3,3,3,3,3,3,2,1,3,2,2,1,2,2,3,3,1,1,1,2,1,4,4,4,4,4,1,3,4,1,2,4,2,1,2,4,3,1,4,2,4,1,4,4,3,3,4,3,3,3
pid_191,1,1,1,2,1,2,1,4,4,4,4,4,2,4,4,2,4,4,1,2,1,2,1,2,2,1,2,2,2,1,2,3,4,3,2,1,2,2,2,2,1,1,3,2,2,2,2,2,2,1,4,4,4,3,3,4,3,1,1,2,3,2,4,4,1,4,1,2,2,4,3,4,3,2,2,3,3,3,1,4,1,4,1,4,2,1,1,1,1,1,1
pid_1975,1,2,1,2,2,4,1,4,4,4,4,1,3,4,3,2,4,4,1,1,1,2,1,1,4,2,2,3,1,3,3,2,3,3,2,1,1,3,3,3,1,1,3,3,3,2,2,2,1,3,4,4,4,3,4,4,3,1,1,1,1,1,4,4,4,4,4,1,1,4,2,4,2,2,1,2,3,3,1,4,1,4,1,4,3,3,2,2,2,2,2
pid_1108,1,2,2,1,1,2,1,2,2,2,3,2,2,2,2,2,2,4,1,2,1,2,3,3,1,1,4,3,4,1,1,4,2,4,3,3,2,2,2,4,2,1,2,2,2,2,3,1,4,2,3,2,4,4,2,2,4,1,1,2,1,1,3,4,1,1,1,1,4,4,1,4,4,4,2,3,3,2,1,2,4,4,1,4,2,1,1,1,1,2,2
pid_1692,1,2,1,1,1,4,2,4,4,4,4,4,4,4,2,2,4,4,1,2,2,2,1,2,4,3,2,4,1,4,2,2,3,4,2,1,1,4,3,1,1,1,3,3,3,3,2,1,1,3,3,4,4,2,4,4,2,1,1,1,2,1,4,4,4,4,4,1,2,3,1,4,2,2,1,2,4,4,1,4,1,4,1,4,4,3,2,2,3,2,1
pid_645,1,1,1,1,1,1,1,2,1,4,2,1,1,4,4,4,4,4,1,1,1,2,2,3,1,1,4,4,4,1,1,2,2,4,3,3,2,2,1,3,3,1,3,2,3,2,4,2,3,1,4,4,4,4,4,4,4,4,4,1,1,2,2,3,1,1,2,1,3,4,4,2,4,4,3,3,1,1,1,2,2,4,1,4,2,1,1,1,1,1,1
pid_1421,1,2,1,3,1,3,2,3,3,4,2,3,3,4,3,4,4,4,1,2,2,3,3,3,2,1,3,3,3,2,2,3,4,4,2,2,2,3,2,4,2,2,3,3,3,3,3,2,3,3,4,4,4,3,4,4,4,2,4,1,1,1,4,3,1,2,2,3,2,4,4,4,3,3,2,3,3,3,1,4,1,4,1,4,2,2,3,2,2,2,3
pid_1146,1,1,1,2,1,4,2,4,4,4,4,3,1,4,4,4,4,4,1,2,1,2,1,2,4,1,3,3,3,2,2,3,3,3,2,1,2,2,2,2,1,1,3,3,3,2,2,1,1,1,4,4,3,3,4,4,4,4,2,3,3,4,4,4,2,4,4,2,2,4,3,3,3,2,2,3,3,2,1,4,1,4,1,4,2,2,1,1,2,3,1
pid_322,1,1,1,1,1,2,3,4,4,4,4,4,1,4,3,4,4,4,1,2,1,2,1,2,3,1,2,3,2,3,3,2,3,3,2,1,1,3,3,1,2,1,3,3,3,3,2,2,2,2,3,3,2,2,2,3,4,2,1,2,2,2,4,4,4,4,4,1,2,4,2,3,3,2,1,2,4,3,1,4,1,4,1,4,3,2,2,3,2,3,1
pid_814,1,1,1,2,1,4,3,4,4,4,4,4,2,4,2,4,4,4,1,2,1,2,2,1,3,2,3,3,3,3,2,3,4,4,3,1,2,3,2,3,2,2,3,3,3,3,3,1,2,2,4,4,4,3,4,4,4,1,1,1,2,1,4,4,3,4,4,1,3,4,3,4,3,2,1,3,3,2,1,4,1,4,1,4,3,2,2,3,2,3,2
pid_1597,1,2,1,1,1,3,2,2,2,4,4,4,3,4,2,3,4,4,1,2,1,3,3,3,3,1,4,4,3,1,2,3,2,4,3,3,3,2,2,3,3,3,3,2,3,3,3,1,3,3,2,4,4,4,3,4,3,1,1,1,1,1,3,2,1,1,1,2,4,4,1,4,4,3,1,2,4,1,1,4,4,4,1,4,3,1,1,1,1,3,4
pid_294,1,2,2,1,1,2,1,4,4,4,4,2,2,4,1,3,4,4,1,3,2,3,2,3,1,1,2,3,1,4,3,2,3,3,2,1,2,3,3,2,1,1,3,3,3,3,2,2,1,3,2,4,2,2,4,3,3,1,1,1,1,1,4,4,4,4,4,1,2,3,1,3,2,2,1,2,3,4,1,4,2,4,1,4,3,2,2,2,2,2,3
pid_1243,1,1,1,2,1,4,2,4,4,4,4,4,4,2,2,2,3,4,2,3,2,2,2,2,4,2,2,3,1,3,2,3,3,4,2,2,2,4,2,1,1,2,3,3,3,3,2,2,1,3,2,3,4,3,3,4,3,1,1,1,1,1,4,4,4,4,4,2,2,3,2,4,2,2,1,2,3,4,1,4,1,4,1,4,3,3,4,3,2,4,3
pid_1724,1,2,2,2,1,3,1,4,4,4,4,4,3,4,3,4,4,4,1,2,2,3,2,2,4,2,2,3,1,3,3,3,3,3,2,1,2,2,2,3,1,1,3,3,3,3,2,1,2,2,4,4,3,2,4,3,2,2,1,3,3,2,4,4,4,4,4,2,3,4,2,3,3,2,1,2,3,4,1,4,2,4,1,4,3,2,3,3,2,4,3
pid_2035,1,1,1,2,1,2,1,4,4,4,4,4,3,3,2,2,4,4,1,2,1,2,2,2,2,1,3,3,2,2,2,3,3,3,2,2,2,3,3,2,1,1,3,3,3,2,2,2,2,3,2,4,4,2,2,2,2,1,1,1,1,1,4,4,2,4,4,2,3,3,3,3,3,3,1,2,3,3,1,3,2,4,1,4,3,2,1,1,1,2,1
pid_540,1,1,1,2,4,4,1,4,4,4,4,3,1,4,4,4,4,4,1,2,1,2,2,3,4,2,3,2,2,2,2,2,3,3,2,1,2,3,2,2,1,1,3,3,3,3,2,2,2,2,4,4,4,3,4,4,4,4,2,3,4,3,4,4,2,4,4,2,2,3,2,3,3,2,1,3,3,2,1,4,2,4,1,4,3,1,1,2,1,2,2
